"Time","Q"
2015-08-21,161.3781831
2015-08-22,163.1388402
2015-08-23,154.3314165
2015-08-24,156.7569352
2015-08-25,154.6270212
2015-08-26,158.4341756
2015-08-27,160.9202833
2015-08-28,164.3506982
2015-08-29,162.4768171
2015-08-30,148.6203226
2015-08-31,157.6299562
2015-09-01,162.0613166
2015-09-02,165.8278217
2015-09-03,158.7690127
2015-09-04,164.7771384
2015-09-05,164.5035412
2015-09-06,151.3567257
2015-09-07,157.0973193
2015-09-08,158.7547904
2015-09-09,161.5084784
2015-09-10,158.7426879
2015-09-11,160.0722456
2015-09-12,165.216684
2015-09-13,151.4261346
2015-09-14,153.2717491
2015-09-15,155.0739617
2015-09-16,160.5275875
2015-09-17,160.5894004
2015-09-18,160.0914625
2015-09-19,161.108089
2015-09-20,145.7572078
2015-09-21,155.1740622
2015-09-22,158.885647
2015-09-23,160.8897011
2015-09-24,157.6389911
2015-09-25,159.9438278
2015-09-26,157.376072
2015-09-27,145.5292172
2015-09-28,154.9560715
2015-09-29,160.0669735
2015-09-30,161.3713679
2015-10-01,162.9196909
2015-10-02,162.9422656
2015-10-03,159.0590356
2015-10-04,151.4316929
2015-10-05,152.0289742
2015-10-06,156.0610099
2015-10-07,155.2423371
2015-10-08,154.1406396
2015-10-09,158.3260193
2015-10-10,156.1736867
2015-10-11,147.4987357
2015-10-12,154.1525437
2015-10-13,161.5326219
2015-10-14,165.4094536
2015-10-15,161.3543861
2015-10-16,161.5953611
2015-10-17,161.324375
2015-10-18,151.6364586
2015-10-19,159.2023938
2015-10-20,161.101212
2015-10-21,161.9445262
2015-10-22,159.4102245
2015-10-23,159.745075
2015-10-24,156.1876541
2015-10-25,146.0067714
2015-10-26,155.2166991
2015-10-27,162.323819
2015-10-28,161.557376
2015-10-29,162.0161172
2015-10-30,158.4961358
2015-10-31,155.2492487
2015-11-01,143.062973
2015-11-02,154.6070031
2015-11-03,160.7243804
2015-11-04,162.2811651
2015-11-05,156.4411864
2015-11-06,158.5279528
2015-11-07,158.2803493
2015-11-08,149.7972512
2015-11-09,154.9285557
2015-11-10,166.7065825
2015-11-11,162.2639868
2015-11-12,165.0909004
2015-11-13,161.2695158
2015-11-14,159.535313
2015-11-15,151.0129985
2015-11-16,157.1239715
2015-11-17,161.9764169
2015-11-18,160.6827154
2015-11-19,156.4554347
2015-11-20,159.7042483
2015-11-21,162.1037442
2015-11-22,149.1816832
2015-11-23,154.6074109
2015-11-24,159.497203
2015-11-25,161.5012665
2015-11-26,169.7456284
2015-11-27,177.9899903
2015-11-28,157.6889881
2015-11-29,148.1509747
2015-11-30,152.9070603
2015-12-01,160.4251701
2015-12-02,149.5064512
2015-12-03,164.071174
2015-12-04,155.6802649
2015-12-05,163.4470948
2015-12-06,148.237949
2015-12-07,151.4940472
2015-12-08,149.2013855
2015-12-09,160.6492053
2015-12-10,162.926955
2015-12-11,158.9516476
2015-12-12,163.7890813
2015-12-13,149.7956956
2015-12-14,160.3622669
2015-12-15,165.747608
2015-12-16,168.0938438
2015-12-17,163.6715564
2015-12-18,161.9725193
2015-12-19,159.3288573
2015-12-20,149.8246186
2015-12-21,158.4517326
2015-12-22,154.4243221
2015-12-23,162.6336154
2015-12-24,163.3867336
2015-12-25,137.6121742
2015-12-26,153.8763377
2015-12-27,152.3101417
2015-12-28,165.6349948
2015-12-29,168.419693
2015-12-30,167.3058027
2015-12-31,163.769654
2016-01-01,132.8285601
2016-01-02,148.4129027
2016-01-03,148.4581167
2016-01-04,163.2455964
2016-01-05,160.7736192
2016-01-06,160.7182695
2016-01-07,157.8742807
2016-01-08,156.3588511
2016-01-09,157.4834589
2016-01-10,151.1927384
2016-01-11,155.458822
2016-01-12,164.063164
2016-01-13,162.7798804
2016-01-14,157.4517484
2016-01-15,156.9678504
2016-01-16,157.1036099
2016-01-17,148.5619787
2016-01-18,158.7869895
2016-01-19,147.83605
2016-01-20,161.1913016
2016-01-21,160.2223975
2016-01-22,161.1317018
2016-01-23,159.2766858
2016-01-24,144.2268332
2016-01-25,154.6649876
2016-01-26,162.0289457
2016-01-27,165.2951146
2016-01-28,153.6752874
2016-01-29,158.4174964
2016-01-30,159.5254217
2016-01-31,157.0095918
2016-02-01,166.1900007
2016-02-02,168.3101094
2016-02-03,175.2190184
2016-02-04,172.9655263
2016-02-05,174.637856
2016-02-06,174.2521888
2016-02-07,159.4353468
2016-02-08,161.8293378
2016-02-09,168.7044325
2016-02-10,167.5071034
2016-02-11,167.9856881
2016-02-12,172.3128683
2016-02-13,173.3194123
2016-02-14,159.8224554
2016-02-15,166.0167217
2016-02-16,172.7786878
2016-02-17,174.9529329
2016-02-18,173.1295697
2016-02-19,176.8214327
2016-02-20,171.9454049
2016-02-21,160.6375069
2016-02-22,170.2009192
2016-02-23,173.9132007
2016-02-24,174.9560452
2016-02-25,171.2789148
2016-02-26,171.9539106
2016-02-27,172.6769311
2016-02-28,165.7651461
2016-02-29,171.5935774
2016-03-01,174.0599738
2016-03-02,177.0706192
2016-03-03,174.5558154
2016-03-04,181.25299
2016-03-05,173.6091104
2016-03-06,161.8039717
2016-03-07,167.8428337
2016-03-08,172.6209164
2016-03-09,177.0224594
2016-03-10,175.7307194
2016-03-11,174.2543203
2016-03-12,175.6286182
2016-03-13,165.407872
2016-03-14,169.7743384
2016-03-15,171.0168991
2016-03-16,175.6923964
2016-03-17,176.1394323
2016-03-18,170.8977097
2016-03-19,172.2173866
2016-03-20,155.4199554
2016-03-21,162.2658446
2016-03-22,165.1090808
2016-03-23,163.9919754
2016-03-24,155.4784536
2016-03-25,142.6120741
2016-03-26,156.0518356
2016-03-27,152.0671642
2016-03-28,165.0485083
2016-03-29,161.671369
2016-03-30,162.9201057
2016-03-31,166.0929078
2016-04-01,169.7388804
2016-04-02,166.4251233
2016-04-03,154.8898498
2016-04-04,160.7175086
2016-04-05,166.8171575
2016-04-06,166.1169888
2016-04-07,153.7470666
2016-04-08,161.9282412
2016-04-09,160.2769141
2016-04-10,144.4492563
2016-04-11,155.7862092
2016-04-12,161.189232
2016-04-13,160.9541032
2016-04-14,165.1390811
2016-04-15,151.9611629
2016-04-16,162.8061432
2016-04-17,149.7026906
2016-04-18,155.9677732
2016-04-19,159.6828167
2016-04-20,160.4802643
2016-04-21,158.7048886
2016-04-22,157.2974838
2016-04-23,159.8424278
2016-04-24,149.8565855
2016-04-25,152.4939646
2016-04-26,157.8585778
2016-04-27,162.6101662
2016-04-28,157.1957489
2016-04-29,157.2560157
2016-04-30,152.6911687
2016-05-01,145.0894152
2016-05-02,152.265365
2016-05-03,151.4997871
2016-05-04,157.6108185
2016-05-05,156.3260571
2016-05-06,148.7066963
2016-05-07,154.8902517
2016-05-08,149.5064411
2016-05-09,151.2525061
2016-05-10,152.9764158
2016-05-11,160.748556
2016-05-12,157.6360186
2016-05-13,157.9619876
2016-05-14,153.2233644
2016-05-15,142.5218767
2016-05-16,143.7054465
2016-05-17,155.1692939
2016-05-18,153.7687706
2016-05-19,155.225311
2016-05-20,155.0622702
2016-05-21,154.3891235
